id_match,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,round_mode_detail,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
2040042,Azerbaijan,Sweden,AZE,SWE,1.0,3.0,,,1.0,3.0,Sweden,WIN_REGULAR,2025,2024-09-05,2024-09-05T16:00:00Z,4,Group C1,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,9450.0,63269,AZE,31200.0,40.3973806,49.8523917,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 65, 'second': 46}, 'international_name': 'Alexander Isak', 'club_shirt_name': 'Isak', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 71, 'second': 18}, 'international_name': 'Alexander Isak', 'club_shirt_name': 'Isak', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 80, 'second': 22}, 'international_name': 'Viktor Gyökeres', 'club_shirt_name': 'Gyökeres', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '17', 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 8}, 'international_name': 'Renat Dadaşov', 'club_shirt_name': 'Dadashov', 'country_code': 'AZE', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]","[{'phase': 'FIRST_HALF', 'time': {'injuryMinute': 7, 'minute': 45, 'second': 41}, 'international_name': 'Ramil Sheydaev', 'club_shirt_name': 'Sheidaev', 'country_code': 'AZE', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'penalty_type': 'MISSED'}]",,,"[{'name': 'Csaba Pintér', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Pintér', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Michalis Mitas', 'role': 'UEFA_DELEGATE', 'name_short': 'Mitas', 'gender': 'MALE', 'counrty_code': 'CYP', 'counrty': 'Cyprus'}, {'name': 'Balázs Berke', 'role': 'REFEREE', 'name_short': 'Berke', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Tamás Bognár', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Bognár', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Vencel Tóth', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Tóth', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Katalin Kulcsár', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Kulcsár', 'gender': 'FEMALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Balázs Szert', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Szert', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Levan Paniashvili', 'role': 'REFEREE_OBSERVER', 'name_short': 'Paniashvili', 'gender': 'MALE', 'counrty_code': 'GEO', 'counrty': 'Georgia'}]",Baku,Tofiq Bahramov Republican Stadium,Tofiq Bahramov Republican Stadium,Tofiq Bahramov Republican Stadium,Tofiq Bähramov adina Respublika stadionu,Tofiq Bahramov Republican Stadium
2040043,San Marino,Liechtenstein,SMR,LIE,1.0,0.0,,,1.0,0.0,San Marino,WIN_REGULAR,2025,2024-09-05,2024-09-05T18:45:00Z,2,Group D1,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,914.0,62265,SMR,4798.0,43.9712528,12.4769694,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 53, 'second': 8}, 'international_name': 'Nicko Sensoli', 'club_shirt_name': '', 'country_code': 'SMR', 'national_field_position': 'FORWARD', 'national_jersey_number': '20', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Andrejs Gluhovs', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Gluhovs', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Aleksejs Spasennikovs ', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Spasennikovs', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Kristaps Ratnieks', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Ratnieks', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Sviatlana Hrynkevich', 'role': 'UEFA_DELEGATE', 'name_short': 'Hrynkevich', 'gender': 'FEMALE', 'counrty_code': 'BLR', 'counrty': 'Belarus'}, {'name': 'Andris Treimanis', 'role': 'REFEREE', 'name_short': 'Treimanis', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Haralds Gudermanis', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Gudermanis', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Aleksandrs Golubevs', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Golubevs', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Domagoj Vučkov', 'role': 'REFEREE_OBSERVER', 'name_short': 'Vučkov', 'gender': 'MALE', 'counrty_code': 'CRO', 'counrty': 'Croatia'}]",Serravalle,San Marino Stadium,San Marino Stadium,San Marino Stadium,San Marino Stadium,San Marino Stadium
2040044,Northern Ireland,Luxembourg,NIR,LUX,2.0,0.0,,,2.0,0.0,Northern Ireland,WIN_REGULAR,2025,2024-09-05,2024-09-05T18:45:00Z,1,Group C3,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,17213.0,62414,NIR,18434.0,54.5826278,-5.9551778,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 11, 'second': 16}, 'international_name': 'Paddy McNair', 'club_shirt_name': 'McNAIR', 'country_code': 'NIR', 'national_field_position': 'DEFENDER', 'national_jersey_number': '17', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 17, 'second': 7}, 'international_name': 'Daniel Ballard', 'club_shirt_name': 'Ballard', 'country_code': 'NIR', 'national_field_position': 'DEFENDER', 'national_jersey_number': '4', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Michel Schafroth', 'role': 'UEFA_DELEGATE', 'name_short': 'Schafroth', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Vasile Marinescu', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Marinescu', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'John Ward', 'role': 'REFEREE_OBSERVER', 'name_short': 'Ward', 'gender': 'MALE', 'counrty_code': 'IRL', 'counrty': 'Republic of Ireland'}, {'name': 'Sebastian Colţescu', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Colţescu', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Marian Barbu', 'role': 'REFEREE', 'name_short': 'Barbu', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Ovidiu Artene', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Artene', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Iulian Dima', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dima', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Rares Vidican', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vidican', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}]",Belfast,National Football Stadium at Windsor Park,Windsor Park,Windsor Park,Windsor Park,National Football Stadium at Windsor Park
2040045,Portugal,Croatia,POR,CRO,2.0,1.0,,,2.0,1.0,Portugal,WIN_REGULAR,2025,2024-09-05,2024-09-05T18:45:00Z,1,Group A1,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,57675.0,85265,POR,65279.0,38.751488,-9.188022,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 7, 'second': 48}, 'international_name': 'Diogo Dalot', 'club_shirt_name': 'Dalot', 'country_code': 'POR', 'national_field_position': 'DEFENDER', 'national_jersey_number': '5', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 34, 'second': 5}, 'international_name': 'Cristiano Ronaldo', 'club_shirt_name': 'Ronaldo', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '7', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 41, 'second': 51}, 'international_name': 'Diogo Dalot', 'club_shirt_name': 'Dalot', 'country_code': 'POR', 'national_field_position': 'DEFENDER', 'national_jersey_number': '5', 'goal_type': 'OWN'}]",,,,"[{'name': 'Katrin Rafalski', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Rafalski', 'gender': 'FEMALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Arda Kardeşler', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Arda Kardeşler', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Umut Meler', 'role': 'REFEREE', 'name_short': 'Meler', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Bastian Dankert', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dankert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Marinus Koopman', 'role': 'REFEREE_OBSERVER', 'name_short': 'Koopman', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'István Huszár', 'role': 'UEFA_DELEGATE', 'name_short': 'Huszár', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Kerem Ersoy', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Kerem Ersoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Ibrahim Çaglar Uyarcan', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Uyarcan', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}]",Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica
2040046,Denmark,Switzerland,DEN,SUI,2.0,0.0,,,2.0,0.0,Denmark,WIN_REGULAR,2025,2024-09-05,2024-09-05T18:45:00Z,2,Group A4,MD1,70.0,EXCELLENT,19.0,PARTLY_CLOUDY_NIGHT,17.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,26024.0,63462,DEN,38052.0,55.7027611,12.572275,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 21}, 'international_name': 'Patrick Dorgu', 'club_shirt_name': 'Dorgu', 'country_code': 'DEN', 'national_field_position': 'DEFENDER', 'national_jersey_number': '17', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'injuryMinute': 2, 'minute': 90, 'second': 40}, 'international_name': 'Pierre-Emile Højbjerg', 'club_shirt_name': 'Hojbjerg', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '23', 'goal_type': 'SCORED'}]",,,"[{'phase': 'SECOND_HALF', 'time': {'minute': 52, 'second': 28}, 'international_name': 'Nico Elvedi', 'club_shirt_name': 'Elvedi', 'country_code': 'SUI', 'national_field_position': 'DEFENDER', 'national_jersey_number': '4'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 29}, 'international_name': 'Granit Xhaka', 'club_shirt_name': 'Xhaka', 'country_code': 'SUI', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10'}]","[{'name': 'Jan Seidel', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Seidel', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': ""Kieran O'connor"", 'role': 'UEFA_DELEGATE', 'name_short': ""O'connor"", 'gender': 'MALE', 'counrty_code': 'WAL', 'counrty': 'Wales'}, {'name': 'Daniel Siebert', 'role': 'REFEREE', 'name_short': 'Siebert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Daniel Schlager', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Schlager', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Tomasz Mikulski', 'role': 'REFEREE_OBSERVER', 'name_short': 'Mikulski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Patrick Hanslbauer', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Hanslbauer', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Christian Dingert', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dingert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Rafael Foltyn', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Foltyn', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}]",Copenhagen,Parken,Parken,Parken,Parken Stadium,Parken
2040047,Scotland,Poland,SCO,POL,2.0,3.0,,,2.0,3.0,Poland,WIN_REGULAR,2025,2024-09-05,2024-09-05T18:45:00Z,1,Group A1,MD1,76.0,EXCELLENT,20.0,CLOUDY_NIGHT,17.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,46356.0,62427,SCO,51824.0,55.8258583,-4.2519417,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 8, 'second': 58}, 'international_name': 'Sebastian Szymański', 'club_shirt_name': 'SZYMAŃSKI', 'country_code': 'POL', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 44, 'second': 53}, 'international_name': 'Robert Lewandowski', 'club_shirt_name': 'Lewandowski', 'country_code': 'POL', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 46, 'second': 30}, 'international_name': 'Billy Gilmour', 'club_shirt_name': 'Gilmour', 'country_code': 'SCO', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 76, 'second': 38}, 'international_name': 'Scott McTominay', 'club_shirt_name': 'McTominay', 'country_code': 'SCO', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '4', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'injuryMinute': 7, 'minute': 90, 'second': 34}, 'international_name': 'Nicola Zalewski', 'club_shirt_name': 'Zalewski', 'country_code': 'POL', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '21', 'goal_type': 'PENALTY'}]",,,,"[{'name': 'Jan Willem Van Dop', 'role': 'UEFA_DELEGATE', 'name_short': 'Van Dop', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Mahbod Beigi', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Beigi', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Carlos Gómez', 'role': 'REFEREE_OBSERVER', 'name_short': 'Gómez', 'gender': 'MALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'Erwin Blank', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Blank', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Andreas Söderkvist', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Söderkvist', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Kristoffer Karlsson', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Dennis Higler', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Higler', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Glenn Nyberg', 'role': 'REFEREE', 'name_short': 'Nyberg', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}]",Glasgow,Hampden Park,Hampden Park,Hampden Park,Hampden Park,Hampden Park
2040048,Estonia,Slovakia,EST,SVK,0.0,1.0,,,0.0,1.0,Slovakia,WIN_REGULAR,2025,2024-09-05,2024-09-05T18:45:00Z,3,Group C1,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,6128.0,77966,EST,14336.0,59.4213583,24.7321556,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 70, 'second': 40}, 'international_name': 'Tomáš Suslov', 'club_shirt_name': 'Suslov', 'country_code': 'SVK', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '7', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Silvia Dorschnerova Weis', 'role': 'UEFA_DELEGATE', 'name_short': 'Dorschnerova Weis', 'gender': 'FEMALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'Matej Jug', 'role': 'REFEREE', 'name_short': 'Jug', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Nejc Kajtazovic', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Kajtazovic', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Matej Žunič', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Žunič', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Vladimir Petrov', 'role': 'REFEREE_OBSERVER', 'name_short': 'Petrov', 'gender': 'MALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Manuel Vidali', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Vidali', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Alen Borošak', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Borošak', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Dejan Balažič', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Balažič', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}]",Tallinn,A. Le Coq Arena,A. Le Coq Arena,Lilleküla Stadium,Lilleküla Stadium,A. Le Coq Arena
2040049,Serbia,Spain,SRB,ESP,0.0,0.0,,,0.0,0.0,,DRAW,2025,2024-09-05,2024-09-05T18:45:00Z,2,Group A4,MD1,38.0,EXCELLENT,28.0,PARTLY_CLOUDY_NIGHT,15.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,29981.0,53479,SRB,49450.0,44.7832028,20.4649167,105.0,68.0,,,,,"[{'name': 'Pol van Boekel', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'van Boekel', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Peadar Ryan', 'role': 'UEFA_DELEGATE', 'name_short': 'Ryan', 'gender': 'MALE', 'counrty_code': 'IRL', 'counrty': 'Republic of Ireland'}, {'name': 'Jeroen Manschot', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Manschot', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Erwin Zeinstra', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Zeinstra', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Matteo Trefoloni', 'role': 'REFEREE_OBSERVER', 'name_short': 'Trefoloni', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Johan Balder', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Balder', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Sander van der Eijk', 'role': 'FOURTH_OFFICIAL', 'name_short': 'van der Eijk', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Serdar Gözübüyük', 'role': 'REFEREE', 'name_short': 'Gözübüyük', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}]",Belgrade,Stadion Rajko Mitić,Stadion Rajko Mitic,Stadion Rajko Mitić,Stadion Rajko Mitić,Stadion Rajko Mitić
2040050,Belarus,Bulgaria,BLR,BUL,0.0,0.0,,,0.0,0.0,,DRAW,2025,2024-09-05,2024-09-05T18:45:00Z,2,Group C3,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,1.0,63461,HUN,10775.0,46.848305,16.848299,105.0,68.0,,,,"[{'phase': 'SECOND_HALF', 'time': {'minute': 74, 'second': 4}, 'international_name': 'Filip Krastev', 'club_shirt_name': 'F. Krastev', 'country_code': 'BUL', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '20'}]","[{'name': 'Andrei Chivulete', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Chivulete', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Gianluca Aureliano', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Aureliano', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Shmuel Shteif', 'role': 'REFEREE_OBSERVER', 'name_short': 'Shteif', 'gender': 'MALE', 'counrty_code': 'ISR', 'counrty': 'Israel'}, {'name': 'Marco Serra', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Serra', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Ovidiu Haţegan', 'role': 'REFEREE', 'name_short': 'Haţegan', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Alexandru Cerei', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Cerei', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Mario Duran', 'role': 'UEFA_DELEGATE', 'name_short': 'Duran', 'gender': 'MALE', 'counrty_code': 'BIH', 'counrty': 'Bosnia and Herzegovina'}, {'name': 'Sebastian Gheorghe', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Gheorghe', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}]",Zalaegerszeg,ZTE Aréna,ZTE Aréna,ZTE Aréna,ZTE Aréna,ZTE Aréna
2040051,Kazakhstan,Norway,KAZ,NOR,0.0,0.0,,,0.0,0.0,,DRAW,2025,2024-09-06,2024-09-06T14:00:00Z,5,Group B3,MD1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,GROUP,23173.0,80394,KAZ,23804.0,43.238494,76.924158,105.0,68.0,,,,,"[{'name': 'Alex Bos', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Bos', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Joost van Zuilen', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Van Zuilen', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Tibor Vámos', 'role': 'UEFA_DELEGATE', 'name_short': 'Vámos', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Rob Dieperink', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dieperink', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Allard Lindhout', 'role': 'REFEREE', 'name_short': 'Lindhout', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Edwin Van De Graaf', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE', 'name_short': 'Van De Graaf', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Rogier Honig', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Honig', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Barış Şimşek', 'role': 'REFEREE_OBSERVER', 'name_short': 'Şimşek', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}]",Almaty,Almaty Ortalyk Stadion,Almaty Ortalyk Stadion,Almaty Ortalyk Stadion,Almaty Ortalyk Stadion,Almaty Ortalyk Stadion
